,from_id,total_distance,walking_distance,transfers,travel_time_total,walking_time,wait_time_total
879,o_360610189004,1125.105148,485.597,0,11.5,8.166666667,1.683333333
880,o_360610189005,925.1320422,523.819,0,10.96666667,8.95,2.216666667
881,o_360610189006,1170.685493,366.179,0,10.48333333,6.233333333,2.7
882,o_360610190001,1430.552433,1181.746,0,21.76666667,19.93333333,3.75
883,o_360610190002,1172.522881,930.237,0,17.5,15.75,5.683333333
884,o_360610191001,1923.297745,921.144,0,18.11666667,15.61666667,2.15
885,o_360610191002,1704.980745,702.827,0,14.4,11.9,5.866666667
886,o_360610191003,1620.869745,618.716,0,12.98333333,10.48333333,1.283333333
887,o_360610191004,1568.818745,566.665,0,12.1,9.6,2.166666667
888,o_360610191005,1319.155529,1176.314,0,21.23333333,20.15,2.983333333
889,o_360610191006,1586.002745,583.849,0,12.41666667,9.916666667,1.85
890,o_360610192001,1457.015204,1105.35,0,20.31666667,18.76666667,8.216666667
891,o_360610192002,1404.402204,1052.737,0,19.45,17.9,1.083333333
892,o_360610192003,1893.157064,1077.754,0,24.68333333,18.11666667,1.15
893,o_360610193001,940.0960422,538.783,0,11.1,9.083333333,2.083333333
894,o_360610193002,1170.523552,1043.208,0,18.66666667,17.68333333,6.116666667
895,o_360610193003,963.6940422,562.381,0,11.5,9.483333333,1.683333333
896,o_360610193004,782.7218681,633.681,0,11.41666667,10.66666667,1.766666667
897,o_360610193005,1322.52733,1179.594,0,20.98333333,19.93333333,1.583333333
898,o_360610193006,1762.604323,1480.788,0,26.96666667,25.16666667,1.183333333
899,o_360610194001,1185.131204,833.466,0,15.7,14.15,4.833333333
900,o_360610194002,1321.641204,969.976,0,18.01666667,16.46666667,2.516666667
901,o_360610194003,1264.011204,912.346,0,17,15.45,3.533333333
902,o_360610194004,1105.937204,754.272,0,14.31666667,12.76666667,6.216666667
903,o_360610195001,1453.978574,977.446,0,17.61666667,16.61666667,2.65
904,o_360610195002,1036.436821,776.586,0,14.86666667,13.23333333,1.616666667
905,o_360610195003,1111.868574,635.336,0,11.76666667,10.76666667,2.5
906,o_360610195004,780.4018681,631.361,0,11.46666667,10.71666667,1.716666667
907,o_360610195005,1124.592226,912.222,0,16.9,15.58333333,2.883333333
908,o_360610196001,1296.307385,971.679,0,18.33333333,16.46666667,1.2
909,o_360610196002,956.269296,791.339,0,14.11666667,13.38333333,5.283333333
910,o_360610196003,634.906296,469.976,0,8.666666667,7.933333333,2.733333333
911,o_360610197011,681.3515198,518.148,0,9.616666667,8.883333333,1.566666667
912,o_360610197021,1035.72161,919.333,0,16.36666667,15.66666667,1.816666667
913,o_360610198001,718.5667798,557.707,0,10.06666667,9.433333333,2.266666667
914,o_360610198002,1245.342179,1107.039,0,19.9,18.78333333,1.65
915,o_360610199001,1724.573574,1248.041,0,22.2,21.2,3.316666667
916,o_360610199002,905.256821,645.406,0,12.61666667,10.98333333,3.866666667
917,o_360610199003,1134.281896,937.443,0,17.18333333,15.9,1.066666667
918,o_360610199004,1065.544821,805.694,0,15.35,13.71666667,1.133333333
919,o_360610199005,976.638821,716.788,0,13.83333333,12.2,2.65
920,o_360610199006,1148.682574,672.15,0,12.4,11.4,1.866666667
921,o_360610200001,1435.321892,1297.016,0,23.13333333,22.06666667,1.55
922,o_360610200002,1537.414205,750.938,0,17.21666667,12.68333333,2.316666667
