,from_id,total_distance,walking_distance,transfers,travel_time_total,walking_time,wait_time_total
836,o_360050364002,2640.356149,2309.46,0,40.33333333,39.01666667,2.55
837,o_360050364003,2683.642149,2352.746,0,41.2,39.88333333,1.683333333
838,o_360050365011,1501.993381,1108.149,0,21.46666667,18.83333333,1.25
839,o_360050365012,1581.157327,1152.711,0,22.25,19.48333333,1.716666667
840,o_360050365013,1824.316644,1593.53,0,28.06666667,26.93333333,2.216666667
841,o_360050365021,2027.137354,1463.719,0,27.43333333,24.73333333,2.85
842,o_360050365022,1884.518669,1418.959,0,26.4,24.2,1.366666667
843,o_360050367001,2045.029367,1616.583,0,30.15,27.38333333,1.816666667
844,o_360050367002,2113.483921,1340.524,0,26.4,22.53333333,1.366666667
845,o_360050368001,2574.887692,2367.647,0,41.03333333,39.9,5.683333333
846,o_360050368002,3122.306724,1264.792,0,25.33333333,21.33333333,3.25
847,o_360050369011,1790.358533,1466.432,0,26.26666667,24.76666667,2.116666667
848,o_360050369012,1405.563669,940.004,0,18.16666667,15.96666667,2.6
849,o_360050369021,1497.089669,1031.53,0,19.71666667,17.51666667,1.05
850,o_360050369022,1711.298533,1387.372,0,24.91666667,23.41666667,3.466666667
851,o_360050370001,3110.840592,668.946,1,23.23333333,11.26666667,4.1
852,o_360050370002,2833.105592,391.211,1,18.55,6.583333333,8.783333333
853,o_360050370003,3093.424724,1235.91,0,24.98333333,20.98333333,3.6
854,o_360050371001,1427.232767,1110.029,0,20.88333333,18.78333333,3.183333333
855,o_360050371002,2021.584713,1396.953,0,26.73333333,23.71666667,1.516666667
856,o_360050371003,1240.252767,923.049,0,17.71666667,15.61666667,6.35
857,o_360050371004,1164.415311,962.601,0,17.68333333,16.38333333,1.983333333
858,o_360050372001,3034.076724,1176.562,0,23.83333333,19.83333333,4.75
859,o_360050372002,1945.83234,717.294,0,21.83333333,12.06666667,1.183333333
860,o_360050373001,1087.175311,885.361,0,16.33333333,15.03333333,3.333333333
861,o_360050373002,1771.2099,1387.305,0,25.66666667,23.45,1.816666667
862,o_360050373003,1362.728669,897.169,0,17.38333333,15.18333333,3.383333333
863,o_360050373004,1281.896153,1010.677,0,18.9,17.06666667,3.266666667
864,o_360050374001,2073.013658,1656.181,0,30.88333333,28.31666667,4.516666667
865,o_360050374002,1552.461446,979.245,0,21.25,16.68333333,3.55
866,o_360050374003,1490.710446,917.494,0,20.2,15.63333333,4.6
867,o_360050374004,1494.802446,921.586,0,20.26666667,15.7,4.533333333
868,o_360050375041,732.2114441,538.572,0,10.11666667,9.133333333,2.05
869,o_360050375042,639.4112073,238.299,0,5.883333333,4,1.316666667
870,o_360050375043,1113.051669,647.492,0,13.1,10.9,2.666666667
871,o_360050376001,2176.312658,1759.48,0,32.66666667,30.1,2.733333333
872,o_360050376002,1588.142446,1014.926,0,21.86666667,17.3,2.933333333
873,o_360050378001,1767.79868,539.26,0,18.83333333,9.066666667,2.183333333
874,o_360050378002,1523.414446,950.198,0,20.76666667,16.2,4.033333333
875,o_360050378003,1406.937446,833.721,0,18.76666667,14.2,6.033333333
876,o_360050379001,1485.944669,1020.385,0,19.48333333,17.28333333,1.283333333
877,o_360050379002,1038.816774,701.291,0,14.16666667,11.86666667,5.016666667
878,o_360050379003,1171.527774,834.002,0,16.36666667,14.06666667,2.816666667
879,o_360050379004,1252.869774,915.344,0,17.76666667,15.46666667,1.416666667
880,o_360050379005,1190.641774,853.116,0,16.68333333,14.38333333,2.5
881,o_360050380001,2552.859745,1432.784,0,26.63333333,24.13333333,1.95
882,o_360050380002,2309.101377,1811.888,0,31.43333333,30.43333333,5.766666667
883,o_360050380003,2647.027724,789.513,0,17.31666667,13.31666667,3.266666667
884,o_360050380004,1550.231446,977.015,0,21.2,16.63333333,3.6
885,o_360050381001,1938.718831,1677.647,0,29.71666667,28.4,1.616666667
886,o_360050381002,2407.049627,1277.113,1,25.46666667,21.83333333,4.883333333
887,o_360050381003,1263.975774,926.45,0,18,15.7,1.183333333
888,o_360050381004,1119.196774,781.671,0,15.53333333,13.23333333,3.65
889,o_360050381005,1634.053831,1372.982,0,24.63333333,23.31666667,6.7
890,o_360050381006,1262.257096,608.468,0,11.75,10.25,5.766666667
891,o_360050382001,3245.027724,1387.513,0,27.26666667,23.26666667,1.316666667
892,o_360050382002,2932.801745,1812.726,0,32.93333333,30.43333333,2.65
893,o_360050383011,2403.111627,1273.175,1,25.41666667,21.78333333,4.933333333
894,o_360050383012,1372.814297,983.315,0,18.63333333,16.6,1.5
895,o_360050383013,1372.973297,983.474,0,18.68333333,16.65,1.45
896,o_360050383031,2102.790917,1902.931,0,33.95,32.26666667,1.766666667
897,o_360050383032,1212.385029,910.457,0,17.88333333,15.6,2.05
898,o_360050383041,1563.202042,1371.426,0,24.91666667,23.48333333,1.816666667
899,o_360050385001,607.1562971,217.657,0,5.783333333,3.75,2.35
900,o_360050385002,1540.398472,1006.142,0,19.8,17.28333333,2.433333333
901,o_360050385003,682.4962971,292.997,0,7.033333333,5,1.1
902,o_360050385004,715.5104441,521.871,0,9.85,8.866666667,2.316666667
903,o_360050386001,2833.349713,2413.188,0,42.43333333,40.46666667,4.866666667
904,o_360050386002,2894.375713,2474.214,0,43.56666667,41.6,3.733333333
905,o_360050386003,2673.637692,2466.397,0,42.73333333,41.6,3.983333333
906,o_360050386004,2795.085713,2374.924,0,41.85,39.88333333,5.45
907,o_360050386005,2423.462281,1618.378,0,30.65,27.13333333,4.25
908,o_360050386006,3217.713612,3018.72,0,51.63333333,50.71666667,4.816666667
909,o_360050386007,2776.444692,2569.204,0,44.45,43.31666667,2.266666667
910,o_360050386008,2906.150636,2698.91,0,46.65,45.51666667,2.066666667
911,o_360050387001,1187.14601,985.265,0,17.86666667,16.63333333,1.866666667
912,o_360050387002,1159.568802,736.061,0,14.43333333,12.46666667,1.216666667
913,o_360050387003,1295.881834,1093.999,0,19.91666667,18.45,3.4
914,o_360050388001,2571.204745,1451.129,0,26.85,24.35,1.733333333
915,o_360050388002,2342.860745,1222.785,0,23.05,20.55,5.533333333
916,o_360050389001,1587.188482,1214.178,0,22.85,20.88333333,1.133333333
917,o_360050389002,1401.421547,1076.951,0,19.93333333,18.31666667,1.483333333
918,o_360050389003,1421.902547,1097.432,0,20.28333333,18.66666667,1.133333333
919,o_360050389004,1482.365814,1224.747,0,22.35,20.8,5.383333333
920,o_360050389005,1557.732814,1300.114,0,23.66666667,22.11666667,4.066666667
921,o_360050390001,2094.276745,974.201,0,18.9,16.4,1.683333333
922,o_360050390002,1837.882745,717.807,0,14.61666667,12.11666667,5.966666667
923,o_360050391001,1486.738911,1253.048,0,22.95,21.41666667,1.583333333
924,o_360050391002,1575.646997,1341.957,0,24.06666667,22.95,5.583333333
925,o_360050391003,1194.059311,992.245,0,18.11666667,16.81666667,1.55
926,o_360050391004,1452.403472,918.147,0,18.31666667,15.8,3.916666667
927,o_360050391005,1172.134802,748.627,0,14.63333333,12.66666667,1.016666667
928,o_360050391006,1607.582472,1073.326,0,20.91666667,18.4,1.316666667
929,o_360050392001,1876.093745,756.018,0,15.23333333,12.73333333,5.35
930,o_360050392002,1766.567424,327.952,1,12.71666667,5.566666667,4.133333333
931,o_360050393001,1455.213814,1197.595,0,21.85,20.3,5.883333333
932,o_360050393002,1646.624069,1252.779,0,23.16666667,21.28333333,5.083333333
933,o_360050393003,1392.729911,1159.039,0,21.35,19.81666667,3.183333333
934,o_360050393004,1460.331814,1202.713,0,21.9,20.35,5.833333333
935,o_360050393005,1276.640997,1042.951,0,18.93333333,17.81666667,2.716666667
936,o_360050393006,1351.288997,1117.599,0,20.2,19.08333333,1.45
937,o_360050394001,1493.462367,870.6,0,16.18333333,14.68333333,4.4
938,o_360050394002,1381.887988,456.03,1,12.18333333,7.716666667,4.666666667
939,o_360050394003,1983.470745,863.395,0,17,14.5,3.583333333
940,o_360050394004,1571.353839,380.956,1,12.3,6.466666667,4.55
941,o_360050395001,1779.780663,1282.619,0,24.96666667,21.8,1.716666667
942,o_360050395002,1395.580669,930.021,0,17.88333333,15.68333333,1.216666667
943,o_360050395003,1174.966669,709.407,0,14.25,12.05,1.516666667
944,o_360050395004,1143.287669,677.728,0,13.6,11.4,2.166666667
945,o_360050396001,1586.128367,963.266,0,17.73333333,16.23333333,2.85
946,o_360050396002,2051.123745,931.048,0,18.11666667,15.61666667,2.466666667
947,o_360050396003,1614.201367,991.339,0,18.2,16.7,2.383333333
948,o_360050396004,1391.121988,465.264,1,12.36666667,7.9,4.483333333
949,o_360050397001,1445.543778,683.034,0,15.08333333,11.53333333,1.6
950,o_360050397002,1972.60507,1541.454,0,27.9,26.21666667,1.95
951,o_360050398001,2615.807745,1495.732,0,27.56666667,25.06666667,1.016666667
952,o_360050398002,2037.076367,1414.214,0,25.28333333,23.78333333,3.3
953,o_360050398003,1841.468367,1218.606,0,21.96666667,20.46666667,6.616666667
954,o_360050399011,1533.567378,271.502,1,10.3,4.616666667,7.383333333
955,o_360050399012,1612.11389,1432.162,0,26.41666667,24.48333333,1.883333333
956,o_360050399013,1987.897098,1620.918,0,30.5,27.53333333,2
957,o_360050399014,1733.065378,471,1,13.65,7.966666667,4.033333333
958,o_360050399015,1395.843778,633.334,0,14.31666667,10.76666667,2.366666667
959,o_360050399021,1545.31289,1365.361,0,25.31666667,23.38333333,2.983333333
960,o_360050399022,1378.538042,1186.762,0,21.78333333,20.35,4.95
961,o_360050399023,1516.743042,1324.967,0,24.16666667,22.73333333,2.566666667
962,o_360050399024,1599.986601,1100.431,0,21.03333333,18.9,2.316666667
963,o_360050399025,1627.739287,1235.364,0,24.15,21.21666667,2.583333333
964,o_360050401001,1622.786679,1588.984,0,27.23333333,27.11666667,5.183333333
965,o_360050401002,1786.469679,1752.667,0,30.08333333,29.96666667,2.333333333
966,o_360050401003,1929.492125,274.33,1,12.03333333,4.683333333,5.65
967,o_360050401004,2082.000814,1650.901,0,31.18333333,28.03333333,1.133333333
968,o_360050401005,1676.186378,414.121,1,12.7,7.016666667,4.983333333
969,o_360050403021,1857.864679,1824.062,0,31.16666667,31.05,1.25
970,o_360050403022,2087.169482,1714.159,0,31.16666667,29.2,4.816666667
971,o_360050403023,2267.751646,929.238,0,24.35,15.76666667,2.166666667
