GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate
360050115021,360050115021,Block Group 1; Census Tract 115.02; Bronx County; New York,Bronx,1538,482,443,0.9190871369294604,506,359,0.7094861660079052,288,0.1872561768530559,159,0.1033810143042913,15,0.0097529258777633,308,0.200260078023407,0,0.0,1179,0.7665799739921977,222,0.4605809128630705,36005011502,3928,1509,0.3841649694501018,3935,866,0.2200762388818297,3935,54,0.0137229987293519
360050117011,360050117011,Block Group 1; Census Tract 117.01; Bronx County; New York,Bronx,1262,474,450,0.9493670886075948,443,276,0.6230248306997742,369,0.2923930269413629,120,0.0950871632329635,0,0.0,207,0.1640253565768621,0,0.0,1022,0.8098256735340729,16,0.0337552742616033,36005011701,1262,199,0.1576862123613312,1262,295,0.233755942947702,1262,79,0.0625990491283676
360050118001,360050118001,Block Group 1; Census Tract 118; Bronx County; New York,Bronx,2721,549,217,0.3952641165755919,942,123,0.1305732484076433,429,0.1576626240352811,235,0.0863653068724733,1516,0.5571481073134877,48,0.0176405733186328,115,0.0422638735758912,837,0.3076074972436604,0,0.0,36005011800,3823,460,0.120324352602668,5027,586,0.1165705191963397,5027,210,0.041774418142033
360050119001,360050119001,Block Group 1; Census Tract 119; Bronx County; New York,Bronx,2198,699,699,1.0,958,591,0.6169102296450939,488,0.2220200181983621,422,0.191992720655141,182,0.0828025477707006,1040,0.4731574158325751,0,0.0,809,0.3680618744313012,146,0.2088698140200286,36005011900,5842,1343,0.2298870249914412,5826,1281,0.2198764160659114,5826,99,0.0169927909371781
360050121011,360050121011,Block Group 1; Census Tract 121.01; Bronx County; New York,Bronx,1246,377,354,0.9389920424403184,384,333,0.8671875,359,0.2881219903691814,151,0.1211878009630818,9,0.0072231139646869,230,0.1845906902086677,0,0.0,998,0.8009630818619583,81,0.2148541114058355,36005012101,3293,1067,0.3240206498633465,3293,731,0.221986030974795,3293,180,0.0546614029760097
360050121021,360050121021,Block Group 1; Census Tract 121.02; Bronx County; New York,Bronx,1429,572,558,0.9755244755244756,399,268,0.6716791979949874,320,0.2239328201539538,293,0.2050384884534639,17,0.0118964310706787,342,0.2393282015395381,0,0.0,1027,0.7186843946815955,81,0.1416083916083916,36005012102,1399,557,0.3981415296640457,1429,530,0.370888733379986,1429,80,0.0559832050384884
360050123001,360050123001,Block Group 1; Census Tract 123; Bronx County; New York,Bronx,2111,857,857,1.0,840,557,0.6630952380952381,466,0.2207484604452866,181,0.0857413548081477,0,0.0,1452,0.6878256750355282,14,0.0066319279962103,645,0.3055423969682614,73,0.0851808634772462,36005012300,4712,1511,0.3206706281833616,4712,1358,0.2882003395585739,4712,249,0.0528438030560271
360050125001,360050125001,Block Group 1; Census Tract 125; Bronx County; New York,Bronx,2746,997,839,0.8415245737211635,1067,406,0.380506091846298,1030,0.3750910415149308,128,0.0466132556445739,18,0.0065549890750182,574,0.2090313182811362,0,0.0,2116,0.7705753823743627,320,0.320962888665998,36005012500,3989,1188,0.2978190022562045,4001,571,0.1427143214196451,4001,190,0.047488127968008
360050127011,360050127011,Block Group 1; Census Tract 127.01; Bronx County; New York,Bronx,1263,447,412,0.9217002237136466,380,253,0.6657894736842105,335,0.2652414885193982,166,0.1314330958036421,8,0.0063341250989707,364,0.288202692003167,0,0.0,871,0.6896278701504355,181,0.4049217002237136,36005012701,2102,706,0.3358705994291151,2129,579,0.2719586660403945,2129,151,0.0709253170502583
360050129011,360050129011,Block Group 1; Census Tract 129.01; Bronx County; New York,Bronx,1985,582,582,1.0,497,133,0.2676056338028169,509,0.2564231738035264,192,0.0967254408060453,32,0.0161209068010075,591,0.2977329974811083,0,0.0,1321,0.6654911838790932,46,0.0790378006872852,36005012901,4754,2143,0.4507782919646613,4921,1654,0.3361105466368624,4921,253,0.0514123145702093
360050130001,360050130001,Block Group 1; Census Tract 130; Bronx County; New York,Bronx,1388,472,249,0.527542372881356,666,99,0.1486486486486486,40,0.0288184438040345,278,0.2002881844380403,345,0.2485590778097982,0,0.0,16,0.0115273775216138,1027,0.7399135446685879,72,0.1525423728813559,36005013000,1388,325,0.2341498559077809,1388,265,0.1909221902017291,1388,62,0.0446685878962536
360050131001,360050131001,Block Group 1; Census Tract 131; Bronx County; New York,Bronx,1438,877,877,1.0,427,304,0.711943793911007,328,0.2280945757997218,184,0.1279554937413073,15,0.0104311543810848,582,0.4047287899860918,0,0.0,768,0.5340751043115438,181,0.2063854047890536,36005013100,5277,2083,0.3947318552207693,5288,1725,0.3262102874432678,5288,188,0.0355521936459909
360050132001,360050132001,Block Group 1; Census Tract 132; Bronx County; New York,Bronx,1210,399,269,0.6741854636591479,609,173,0.2840722495894909,445,0.3677685950413223,137,0.1132231404958677,19,0.0157024793388429,594,0.4909090909090909,99,0.0818181818181818,498,0.4115702479338843,43,0.1077694235588972,36005013200,7083,397,0.0560496964563038,7083,1809,0.2554002541296061,7083,276,0.0389665396018636
360050133001,360050133001,Block Group 1; Census Tract 133; Bronx County; New York,Bronx,2625,1077,1077,1.0,726,394,0.5426997245179064,622,0.2369523809523809,343,0.1306666666666666,0,0.0,506,0.1927619047619047,0,0.0,1990,0.758095238095238,151,0.1402042711234911,36005013300,6087,2857,0.4693609331361918,6087,1733,0.2847051092492196,6087,101,0.0165927386232955
360050135001,360050135001,Block Group 1; Census Tract 135; Bronx County; New York,Bronx,515,112,105,0.9375,60,13,0.2166666666666666,282,0.5475728155339806,0,0.0,0,0.0,0,0.0,0,0.0,515,1.0,83,0.7410714285714286,36005013500,4075,1977,0.4851533742331288,4075,925,0.2269938650306748,4075,91,0.0223312883435582
360050138001,360050138001,Block Group 1; Census Tract 138; Bronx County; New York,Bronx,1843,732,224,0.3060109289617486,756,96,0.1269841269841269,467,0.2533912099837221,392,0.2126966901790558,1223,0.6635919696147585,0,0.0,69,0.037438958220293,526,0.2854042322300597,8,0.0109289617486338,36005013800,3062,568,0.1854996734160679,3062,615,0.2008491182233834,3062,75,0.0244937949052906
360050141001,360050141001,Block Group 1; Census Tract 141; Bronx County; New York,Bronx,2887,1050,1038,0.9885714285714284,1064,789,0.7415413533834586,992,0.343609282992726,87,0.030135088326983,125,0.0432975406996882,1347,0.4665742985798407,0,0.0,1415,0.490128160720471,93,0.0885714285714285,36005014100,7856,2133,0.2715122199592668,7744,1466,0.1893078512396694,7744,475,0.0613378099173553
360050143001,360050143001,Block Group 1; Census Tract 143; Bronx County; New York,Bronx,1647,743,743,1.0,485,181,0.3731958762886598,377,0.2289010321797207,197,0.1196114146933819,34,0.0206435944140862,516,0.3132969034608379,116,0.0704310868245294,917,0.5567698846387371,144,0.1938088829071332,36005014300,1617,800,0.494743351886209,1647,487,0.2956891317547055,1647,54,0.0327868852459016
360050144001,360050144001,Block Group 1; Census Tract 144; Bronx County; New York,Bronx,477,419,419,1.0,15,0,0.0,47,0.0985324947589098,430,0.90146750524109,40,0.0838574423480083,48,0.10062893081761,0,0.0,372,0.779874213836478,130,0.3102625298329355,36005014400,6091,1724,0.2830405516335577,6128,1451,0.2367819843342036,6128,648,0.1057441253263707
360050145001,360050145001,Block Group 1; Census Tract 145; Bronx County; New York,Bronx,1825,846,846,1.0,492,184,0.3739837398373983,336,0.1841095890410959,500,0.273972602739726,29,0.0158904109589041,1137,0.623013698630137,0,0.0,644,0.3528767123287671,69,0.0815602836879432,36005014500,6678,3537,0.5296495956873315,6679,1278,0.1913460098817188,6679,681,0.1019613714627938
360050147011,360050147011,Block Group 1; Census Tract 147.01; Bronx County; New York,Bronx,2778,988,988,1.0,903,590,0.6533776301218162,973,0.3502519798416126,152,0.0547156227501799,0,0.0,1451,0.5223182145428366,0,0.0,363,0.1306695464362851,39,0.0394736842105263,36005014701,6085,3678,0.6044371405094494,6094,1472,0.2415490646537578,6094,707,0.1160157531998687
360050147021,360050147021,Block Group 1; Census Tract 147.02; Bronx County; New York,Bronx,1095,497,497,1.0,278,278,1.0,254,0.2319634703196347,327,0.2986301369863013,0,0.0,230,0.2100456621004566,0,0.0,839,0.7662100456621005,67,0.1348088531187122,36005014702,4950,1795,0.3626262626262626,4950,667,0.1347474747474747,4950,159,0.0321212121212121
360050149001,360050149001,Block Group 1; Census Tract 149; Bronx County; New York,Bronx,1838,561,561,1.0,331,315,0.9516616314199396,1005,0.5467899891186072,168,0.0914036996735582,24,0.0130576713819368,754,0.4102285092491839,0,0.0,1060,0.5767138193688792,103,0.1836007130124777,36005014900,4631,2036,0.4396458648240121,4631,802,0.1731807385014035,4631,386,0.0833513280069099
360050151001,360050151001,Block Group 1; Census Tract 151; Bronx County; New York,Bronx,757,197,197,1.0,247,69,0.2793522267206478,247,0.3262879788639365,43,0.0568031704095112,24,0.0317040951122853,556,0.7344782034346103,0,0.0,177,0.2338177014531043,37,0.1878172588832487,36005015100,5051,1603,0.3173628984359533,5199,1580,0.3039045970378919,5199,576,0.1107905366416618
360050152001,360050152001,Block Group 1; Census Tract 152; Bronx County; New York,Bronx,1030,336,136,0.4047619047619047,389,65,0.1670951156812339,266,0.258252427184466,152,0.1475728155339805,408,0.3961165048543689,106,0.1029126213592233,0,0.0,392,0.3805825242718446,61,0.181547619047619,36005015200,2474,286,0.1156022635408245,2562,299,0.1167056986729117,2562,47,0.0183450429352068
360050153001,360050153001,Block Group 1; Census Tract 153; Bronx County; New York,Bronx,2032,1080,986,0.912962962962963,577,233,0.4038128249566724,580,0.2854330708661417,250,0.1230314960629921,0,0.0,822,0.4045275590551181,0,0.0,1162,0.5718503937007874,123,0.1138888888888888,36005015300,3596,896,0.2491657397107897,3603,872,0.2420205384401887,3603,169,0.0469053566472384
360050155001,360050155001,Block Group 1; Census Tract 155; Bronx County; New York,Bronx,2388,828,811,0.9794685990338164,963,667,0.6926272066458983,624,0.2613065326633166,309,0.1293969849246231,3,0.0012562814070351,619,0.259212730318258,0,0.0,1766,0.7395309882747069,172,0.2077294685990338,36005015500,3016,839,0.278183023872679,3016,857,0.2841511936339522,3016,254,0.0842175066312997
