GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360850105001,360850105001,Block Group 1; Census Tract 105; Richmond County; New York,Staten Island,664,209,67,0.3205741626794258,363,102,0.2809917355371901,155,0.233433734939759,94,0.1415662650602409,82,0.1234939759036144,174,0.2620481927710843,0,0.0,171,0.2575301204819277,26,0.124401913875598,36085010500,5635,983,0.1744454303460514,5635,555,0.0984915705412599,5635,406,0.0720496894409937,143753,0.143753,4619.034037550521,0.9623496820366968
360850112011,360850112011,Block Group 1; Census Tract 112.01; Richmond County; New York,Staten Island,978,365,182,0.4986301369863014,443,117,0.2641083521444695,96,0.0981595092024539,205,0.2096114519427402,554,0.5664621676891616,0,0.0,179,0.1830265848670756,245,0.2505112474437628,6,0.0164383561643835,36085011201,5411,191,0.0352984660875993,5411,597,0.1103308076141193,5411,514,0.0949916836074662,552613,0.552613,1769.7737838233988,0.9038290125172728
360850112031,360850112031,Block Group 1; Census Tract 112.03; Richmond County; New York,Staten Island,2369,769,230,0.2990897269180754,1062,205,0.1930320150659133,402,0.1696918531025749,423,0.1785563528915154,705,0.297593921485859,15,0.0063317855635289,1265,0.5339805825242718,355,0.1498522583368509,140,0.1820546163849154,36085011203,6982,1164,0.1667144084789458,7029,715,0.1017214397496087,7029,614,0.0873523972115521,441223,0.441223,5369.167065180192,0.8917622030344787
360850112041,360850112041,Block Group 1; Census Tract 112.04; Richmond County; New York,Staten Island,75,27,27,1.0,56,29,0.5178571428571429,0,0.0,0,0.0,11,0.1466666666666666,0,0.0,0,0.0,64,0.8533333333333334,0,0.0,36085011204,75,11,0.1466666666666666,75,43,0.5733333333333334,75,0,0.0,786354,0.786354,95.37689132375496,0.8496620023136975
360850114011,360850114011,Block Group 1; Census Tract 114.01; Richmond County; New York,Staten Island,815,501,263,0.5249500998003992,402,225,0.5597014925373134,9,0.011042944785276,310,0.3803680981595092,627,0.7693251533742331,0,0.0,137,0.1680981595092024,42,0.0515337423312883,54,0.1077844311377245,36085011401,2906,444,0.1527873365450791,2918,641,0.2196710075394105,2918,10,0.0034270047978067,160072,0.160072,5091.458843520416,0.9367837354063564
360850114021,360850114021,Block Group 1; Census Tract 114.02; Richmond County; New York,Staten Island,1123,385,54,0.1402597402597402,318,61,0.1918238993710692,298,0.2653606411398041,286,0.2546749777382012,832,0.7408726625111309,12,0.0106856634016028,195,0.1736420302760463,84,0.0747996438112199,0,0.0,36085011402,3192,45,0.0140977443609022,3192,559,0.175125313283208,3192,31,0.0097117794486215,200691,0.200691,5595.666970616519,0.6637254694835539
360850011001,360850011001,Block Group 1; Census Tract 11; Richmond County; New York,Staten Island,830,385,266,0.6909090909090909,278,73,0.2625899280575539,211,0.2542168674698795,68,0.0819277108433735,254,0.3060240963855422,35,0.0421686746987951,32,0.0385542168674698,445,0.536144578313253,47,0.122077922077922,36085001100,4852,1655,0.3410964550700742,4852,635,0.130873866446826,4852,315,0.0649216817807089,102191,0.102191,8122.0459727373245,0.9442359351803428
360850121001,360850121001,Block Group 1; Census Tract 121; Richmond County; New York,Staten Island,829,278,8,0.0287769784172661,379,54,0.1424802110817942,161,0.1942098914354644,190,0.2291917973462002,605,0.729794933655006,6,0.0072376357056694,0,0.0,90,0.1085645355850422,0,0.0,36085012100,3134,36,0.0114869176770899,3134,315,0.1005105296745373,3134,0,0.0,237960,0.23796,3483.778786350647,0.8986200490703554
360850122001,360850122001,Block Group 1; Census Tract 122; Richmond County; New York,Staten Island,2190,540,148,0.2740740740740741,712,114,0.1601123595505618,1014,0.4630136986301369,134,0.0611872146118721,953,0.4351598173515982,6,0.0027397260273972,251,0.1146118721461187,980,0.4474885844748858,13,0.024074074074074,36085012200,4783,378,0.0790298975538365,4783,290,0.0606314028852184,4783,254,0.0531047459753292,210673,0.210673,10395.25710461236,0.6334609948886388
360850125001,360850125001,Block Group 1; Census Tract 125; Richmond County; New York,Staten Island,1670,548,63,0.114963503649635,854,212,0.2482435597189695,303,0.181437125748503,184,0.1101796407185628,443,0.2652694610778443,356,0.2131736526946107,84,0.0502994011976047,787,0.4712574850299401,39,0.0711678832116788,36085012500,3229,174,0.0538866522143078,3218,429,0.1333126165320074,3218,157,0.0487880671224362,185955,0.185955,8980.667365760533,0.7293167009214375
360850128041,360850128041,Block Group 1; Census Tract 128.04; Richmond County; New York,Staten Island,2117,759,408,0.5375494071146245,1106,320,0.2893309222423146,398,0.1880018894662257,327,0.1544638639584317,1247,0.589041095890411,42,0.0198393953708077,331,0.1563533301842229,433,0.2045347189418989,76,0.1001317523056653,36085012804,4806,209,0.0434873075322513,4820,486,0.1008298755186722,4820,210,0.0435684647302904,455204,0.455204,4650.662120719501,0.8853146476746759
