GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360471004001,360471004001,Block Group 1; Census Tract 1004; Kings County; New York,Brooklyn,2423,821,443,0.5395858708891595,1008,424,0.4206349206349206,504,0.2080066033842344,416,0.1716879900949236,91,0.0375567478332645,2085,0.8605035080478746,29,0.0119686339248865,96,0.0396203054065208,90,0.1096224116930572,36047100400,2423,283,0.1167973586463062,2423,336,0.1386710689228229,2423,198,0.0817168799009492,132054,0.132054,18348.554379269088,0.6440040768315525
360471006001,360471006001,Block Group 1; Census Tract 1006; Kings County; New York,Brooklyn,1308,411,210,0.5109489051094891,530,260,0.490566037735849,315,0.2408256880733945,212,0.1620795107033639,30,0.0229357798165137,1091,0.8340978593272171,22,0.0168195718654434,32,0.0244648318042813,13,0.0316301703163017,36047100600,2656,247,0.0929969879518072,2670,292,0.1093632958801498,2670,297,0.1112359550561797,76098,0.076098,17188.362374832453,0.6343804121553158
360471008001,360471008001,Block Group 1; Census Tract 1008; Kings County; New York,Brooklyn,854,268,150,0.5597014925373134,304,114,0.375,89,0.104215456674473,229,0.2681498829039813,77,0.0901639344262295,715,0.8372365339578455,4,0.0046838407494145,56,0.0655737704918032,15,0.0559701492537313,36047100800,2156,163,0.0756029684601113,2145,309,0.144055944055944,2145,90,0.0419580419580419,78288,0.078288,10908.440629470671,0.6307461330987322
360470100001,360470100001,Block Group 1; Census Tract 100; Kings County; New York,Brooklyn,1501,481,438,0.9106029106029108,871,314,0.3605051664753157,410,0.2731512325116589,113,0.0752831445702864,9,0.00599600266489,5,0.0033311125916055,837,0.5576282478347768,620,0.4130579613590939,358,0.7442827442827443,36047010000,5489,1291,0.2351976680633995,5489,365,0.0664966296228821,5489,628,0.1144106394607396,37765,0.037765,39745.79637230239,0.8268358035307518
360471010001,360471010001,Block Group 1; Census Tract 1010; Kings County; New York,Brooklyn,696,232,144,0.6206896551724138,254,141,0.5551181102362205,84,0.1206896551724138,87,0.125,27,0.0387931034482758,392,0.5632183908045977,61,0.0876436781609195,153,0.2198275862068965,7,0.0301724137931034,36047101000,2577,246,0.0954598370197904,2577,219,0.0849825378346915,2577,142,0.0551028327512611,81865,0.081865,8501.801746778234,0.6381191184751986
360471012001,360471012001,Block Group 1; Census Tract 1012; Kings County; New York,Brooklyn,1386,500,282,0.564,689,220,0.3193033381712627,209,0.1507936507936507,316,0.227994227994228,23,0.0165945165945165,1186,0.8556998556998557,72,0.0519480519480519,37,0.0266955266955266,7,0.014,36047101200,2079,66,0.0317460317460317,2119,227,0.1071260028315243,2119,153,0.072203869749882,80394,0.080394,17240.09254421972,0.4914413787686978
360471014001,360471014001,Block Group 1; Census Tract 1014; Kings County; New York,Brooklyn,1196,561,346,0.6167557932263814,431,294,0.6821345707656613,221,0.1847826086956521,418,0.3494983277591973,6,0.0050167224080267,1049,0.8770903010033445,50,0.0418060200668896,29,0.0242474916387959,37,0.0659536541889483,36047101400,1785,222,0.1243697478991596,1796,212,0.1180400890868596,1796,20,0.0111358574610244,77570,0.07757,15418.331829315455,0.5300779001453915
360471016001,360471016001,Block Group 1; Census Tract 1016; Kings County; New York,Brooklyn,1897,527,88,0.1669829222011385,890,285,0.3202247191011236,435,0.2293094359515023,378,0.1992619926199262,47,0.0247759620453347,1581,0.8334211913547707,0,0.0,79,0.0416447021613073,0,0.0,36047101600,1895,24,0.012664907651715,1895,143,0.0754617414248021,1895,40,0.021108179419525,112418,0.112418,16874.52187372129,0.4659744214724001
360471018001,360471018001,Block Group 1; Census Tract 1018; Kings County; New York,Brooklyn,1789,709,141,0.1988716502115655,967,352,0.3640124095139607,228,0.1274455002794857,280,0.1565120178870877,36,0.0201229737283398,1394,0.7792062604807155,2,0.0011179429849077,145,0.0810508664058133,94,0.1325811001410437,36047101800,1789,66,0.0368921185019564,1789,222,0.1240916713247624,1789,74,0.0413638904415874,283765,0.283765,6304.512536782197,0.6283472395199992
360470101001,360470101001,Block Group 1; Census Tract 101; Kings County; New York,Brooklyn,1020,360,237,0.6583333333333333,640,337,0.5265625,169,0.1656862745098039,140,0.1372549019607843,544,0.5333333333333333,46,0.0450980392156862,15,0.0147058823529411,390,0.3823529411764705,57,0.1583333333333333,36047010100,4573,765,0.1672862453531598,4606,433,0.0940078158923143,4606,403,0.0874945722970039,116202,0.116202,8777.817937729127,0.6121033510586722
360471020001,360471020001,Block Group 1; Census Tract 1020; Kings County; New York,Brooklyn,2151,597,182,0.304857621440536,1213,252,0.2077493816982687,379,0.1761971176197117,369,0.1715481171548117,229,0.106462110646211,1488,0.691771269177127,92,0.0427708042770804,75,0.0348675034867503,29,0.0485762144053601,36047102000,2151,19,0.00883310088331,2151,338,0.1571362157136215,2151,86,0.0399814039981404,157042,0.157042,13696.972784350684,0.6619329295353426
