GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360610010011,360610010011,Block Group 1; Census Tract 10.01; New York County; New York,Manhattan,1745,812,472,0.5812807881773399,983,349,0.3550356052899288,329,0.188538681948424,334,0.191404011461318,997,0.5713467048710602,52,0.0297994269340974,204,0.1169054441260745,323,0.1851002865329513,32,0.0394088669950738,36061001001,1745,69,0.0395415472779369,1745,109,0.0624641833810888,1745,0,0.0,80143,0.080143,21773.579726239343,0.7315615313739071
360610010021,360610010021,Block Group 1; Census Tract 10.02; New York County; New York,Manhattan,2335,783,783,1.0,591,324,0.5482233502538071,683,0.2925053533190578,262,0.1122055674518201,57,0.0244111349036402,219,0.0937901498929336,66,0.0282655246252676,1736,0.7434689507494646,95,0.1213282247765006,36061001002,6494,3097,0.4769017554665845,6513,1092,0.1676646706586826,6513,321,0.0492860432980193,40446,0.040446,57731.29604905305,0.672498024069544
360610100001,360610100001,Block Group 1; Census Tract 100; New York County; New York,Manhattan,361,217,183,0.8433179723502304,246,25,0.1016260162601626,40,0.1108033240997229,67,0.185595567867036,227,0.628808864265928,4,0.0110803324099723,63,0.1745152354570637,41,0.113573407202216,0,0.0,36061010000,1618,122,0.0754017305315204,1618,90,0.0556242274412855,1618,64,0.0395550061804697,86975,0.086975,4150.617993676344,0.6629432906839972
360610101001,360610101001,Block Group 1; Census Tract 101; New York County; New York,Manhattan,1862,1169,1169,1.0,1325,577,0.4354716981132076,0,0.0,125,0.0671321160042964,690,0.3705692803437164,246,0.1321160042964554,659,0.3539205155746509,233,0.1251342642320086,129,0.1103507271171941,36061010100,1862,350,0.18796992481203,1862,146,0.0784103114930182,1862,85,0.0456498388829215,175520,0.17552,10608.477666362807,0.9509346801508674
360610102001,360610102001,Block Group 1; Census Tract 102; New York County; New York,Manhattan,46,21,0,0.0,46,46,1.0,0,0.0,0,0.0,21,0.4565217391304347,25,0.5434782608695652,0,0.0,0,0.0,0,0.0,36061010200,267,11,0.0411985018726591,262,3,0.0114503816793893,262,5,0.0190839694656488,86526,0.086526,531.632110579479,0.588774161506211
360610103001,360610103001,Block Group 1; Census Tract 103; New York County; New York,Manhattan,2981,1277,1272,0.9960845732184808,1881,802,0.4263689526847422,122,0.0409258638040925,249,0.0835290171083529,1383,0.4639382757463938,289,0.0969473331096947,867,0.2908419993290842,274,0.0919154646091915,151,0.1182458888018794,36061010300,2761,101,0.0365809489315465,3410,44,0.0129032258064516,3410,76,0.0222873900293255,107858,0.107858,27638.19095477387,0.815400313283499
360610104001,360610104001,Block Group 1; Census Tract 104; New York County; New York,Manhattan,1058,596,537,0.901006711409396,672,141,0.2098214285714285,27,0.0255198487712665,290,0.2741020793950851,693,0.6550094517958412,13,0.0122873345935727,265,0.2504725897920605,41,0.0387523629489603,25,0.0419463087248322,36061010400,1057,26,0.0245979186376537,1058,93,0.0879017013232514,1058,11,0.0103969754253308,173230,0.17323,6107.487155804422,0.6895736632656371
360610106011,360610106011,Block Group 1; Census Tract 106.01; New York County; New York,Manhattan,1103,511,256,0.5009784735812133,608,51,0.0838815789473684,257,0.2330009066183136,432,0.3916591115140526,819,0.742520398912058,0,0.0,80,0.0725294650951949,122,0.1106074342701722,0,0.0,36061010601,7753,273,0.0352121759318973,7753,645,0.0831936024764607,7753,33,0.0042564168708886,17441,0.017441,63241.78659480534,0.8289355629052183
360610106021,360610106021,Block Group 1; Census Tract 106.02; New York County; New York,Manhattan,1504,733,483,0.6589358799454298,825,183,0.2218181818181818,228,0.151595744680851,387,0.257313829787234,1195,0.7945478723404256,0,0.0,160,0.1063829787234042,39,0.0259308510638297,0,0.0,36061010602,5199,462,0.0888632429313329,5214,263,0.0504411200613732,5214,88,0.0168776371308016,17123,0.017123,87835.07562927058,0.9090453420903672
360610108011,360610108011,Block Group 1; Census Tract 108.01; New York County; New York,Manhattan,1463,800,713,0.89125,873,216,0.2474226804123711,200,0.1367053998632946,343,0.2344497607655502,818,0.5591250854408749,86,0.0587833219412166,236,0.1613123718386876,45,0.0307587149692412,18,0.0225,36061010801,3013,205,0.0680384998340524,3160,303,0.095886075949367,3160,79,0.025,34347,0.034347,42594.69531545695,0.8432358822037485
360610108021,360610108021,Block Group 1; Census Tract 108.02; New York County; New York,Manhattan,1823,1034,942,0.9110251450676984,1074,173,0.1610800744878957,45,0.0246845858475041,832,0.4563905650027427,1453,0.7970378496982995,0,0.0,296,0.1623697202413604,43,0.0235874931431705,89,0.086073500967118,36061010802,4136,383,0.0926015473887814,4136,310,0.0749516441005802,4136,0,0.0,25321,0.025321,71995.57679396549,0.8509160638890217
