TRACT_GEOID,borough,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate
36005030202,Bronx,6160,513,0.08327922077922079,6160,749,0.1215909090909091,6160,174,0.028246753246753246
36005030701,Bronx,5743,239,0.04161588020198503,5743,837,0.1457426432178304,5743,293,0.05101863137732892
36005030900,Bronx,2946,92,0.031228784792939578,3072,533,0.17350260416666666,3072,27,0.0087890625
36005031000,Bronx,3721,156,0.04192421392098898,3721,309,0.08304219295888202,3721,8,0.002149959688255845
36005031200,Bronx,1474,171,0.11601085481682497,1432,170,0.11871508379888268,1432,77,0.05377094972067039
36005031400,Bronx,2024,105,0.051877470355731224,2052,191,0.09307992202729044,2052,138,0.06725146198830409
36005031600,Bronx,1697,303,0.1785503830288745,1697,327,0.19269298762522097,1697,67,0.03948143783146729
36005031800,Bronx,1663,70,0.04209260372820205,1663,177,0.10643415514131088,1663,51,0.030667468430547205
36005031900,Bronx,100,88,0.88,685,111,0.16204379562043797,685,25,0.0364963503649635
36005032300,Bronx,4923,175,0.035547430428600445,4923,767,0.15579930936420883,4923,64,0.013000203128173878
36005032400,Bronx,2930,959,0.3273037542662116,2930,425,0.14505119453924914,2930,25,0.008532423208191127
36005032600,Bronx,3388,526,0.1552538370720189,3388,431,0.12721369539551358,3388,160,0.047225501770956316
36005032800,Bronx,4110,773,0.18807785888077858,4132,613,0.1483543078412391,4132,301,0.07284607938044531
36005033000,Bronx,5194,1244,0.23950712360415866,5194,753,0.14497497112052368,5194,161,0.03099730458221024
36005033201,Bronx,4046,1133,0.2800296589223925,4046,996,0.24616905585763718,4046,199,0.049184379634206625
36005033202,Bronx,3182,806,0.2532998114393463,3182,508,0.1596480201131364,3182,70,0.02199874292897549
36005033400,Bronx,32,2,0.0625,32,13,0.40625,32,4,0.125
36005033500,Bronx,1761,237,0.13458262350936967,2122,165,0.07775683317624882,2122,62,0.029217719132893498
36005033601,Bronx,4403,2005,0.4553713377242789,4414,967,0.21907566832804712,4414,427,0.09673765292251926
36005033602,Bronx,1218,171,0.14039408866995073,1234,318,0.2576985413290113,1234,25,0.02025931928687196
36005033700,Bronx,3143,158,0.05027044225262488,3193,517,0.16191669276542436,3193,57,0.017851550266207328
36005033801,Bronx,2011,461,0.22923918448533068,2011,303,0.15067130780706117,2011,178,0.08851317752362009
36005033802,Bronx,1569,525,0.33460803059273425,1579,142,0.08993033565547814,1579,219,0.13869537682077265
36005034000,Bronx,4978,984,0.1976697468862997,5004,415,0.08293365307753797,5004,720,0.14388489208633093
36005034200,Bronx,1603,302,0.1883967560823456,1625,175,0.1076923076923077,1625,69,0.04246153846153846
36005034300,Bronx,1456,71,0.048763736263736264,1472,142,0.09646739130434782,1472,38,0.025815217391304348
36005034400,Bronx,1708,582,0.3407494145199063,1717,205,0.11939429237041352,1717,240,0.13977868375072802
36005034500,Bronx,3950,399,0.1010126582278481,3950,565,0.14303797468354432,3950,168,0.042531645569620254
36005034800,Bronx,6046,1143,0.18905061197485942,6046,632,0.10453192193185577,6046,144,0.023817399933840556
36005035000,Bronx,1887,143,0.07578166401695813,1887,170,0.09009009009009009,1887,109,0.057763645998940114
36005035100,Bronx,2707,198,0.0731437015145918,3461,422,0.12193007801213522,3461,90,0.026004045073678126
36005035600,Bronx,2201,277,0.1258518855065879,2202,302,0.1371480472297911,2202,98,0.04450499545867393
36005035800,Bronx,6673,619,0.09276187621759328,6673,688,0.10310205304960288,6673,214,0.032069533942754386
36005035900,Bronx,3822,1623,0.42464678178963894,3873,713,0.18409501678285567,3873,201,0.051897753679318356
